DATE,value,element,STATION_ID
2021-03-18,0.0,PRCP,USC00410058
2021-03-19,0.0,PRCP,USC00410058
2021-03-20,0.0,PRCP,USC00410058
2021-03-21,0.0,PRCP,USC00410058
2021-03-23,0.0,PRCP,USC00410058
2021-03-24,0.0,PRCP,USC00410058
2021-03-26,0.0,PRCP,USC00410058
2021-03-27,0.0,PRCP,USC00410058
2021-03-28,0.0,PRCP,USC00410058
2021-03-29,0.0,PRCP,USC00410058
2021-03-31,0.0,PRCP,USC00410058
2021-04-01,0.0,PRCP,USC00410058
2021-04-02,0.0,PRCP,USC00410058
2021-04-03,0.0,PRCP,USC00410058
2021-04-04,0.0,PRCP,USC00410058
2021-04-05,0.0,PRCP,USC00410058
2021-04-06,0.0,PRCP,USC00410058
2021-04-07,0.0,PRCP,USC00410058
2021-04-08,0.0,PRCP,USC00410058
2021-04-09,0.0,PRCP,USC00410058
2021-04-10,0.0,PRCP,USC00410058
2021-04-11,0.0,PRCP,USC00410058
2021-04-14,0.0,PRCP,USC00410058
2021-04-17,0.0,PRCP,USC00410058
2021-04-18,0.0,PRCP,USC00410058
2021-04-19,0.0,PRCP,USC00410058
2021-04-20,0.0,PRCP,USC00410058
2021-04-21,0.0,PRCP,USC00410058
2021-04-30,0.0,PRCP,USC00410058
2021-05-01,0.0,PRCP,USC00410058
2021-05-03,0.0,PRCP,USC00410058
2021-05-04,0.0,PRCP,USC00410058
2021-05-05,0.0,PRCP,USC00410058
2021-05-06,0.0,PRCP,USC00410058
2021-05-07,0.0,PRCP,USC00410058
2021-05-08,0.0,PRCP,USC00410058
2021-05-09,0.0,PRCP,USC00410058
2021-05-12,0.0,PRCP,USC00410058
2021-05-13,0.0,PRCP,USC00410058
2021-05-14,0.0,PRCP,USC00410058
2021-05-15,0.0,PRCP,USC00410058
2021-05-16,0.0,PRCP,USC00410058
2021-05-19,0.0,PRCP,USC00410058
2021-05-20,0.0,PRCP,USC00410058
2021-05-21,0.0,PRCP,USC00410058
2021-05-22,0.0,PRCP,USC00410058
2021-05-24,0.0,PRCP,USC00410058
2021-05-25,0.0,PRCP,USC00410058
2021-05-26,0.0,PRCP,USC00410058
2021-05-27,0.0,PRCP,USC00410058
2021-05-28,0.0,PRCP,USC00410058
2021-05-29,0.0,PRCP,USC00410058
2021-05-30,0.0,PRCP,USC00410058
2021-05-31,0.0,PRCP,USC00410058
2021-06-01,0.0,PRCP,USC00410058
2021-06-02,0.0,PRCP,USC00410058
2021-06-03,0.0,PRCP,USC00410058
