DATE,value,element,STATION_ID
2015-09-23,0.0,PRCP,US1TXDA0075
2015-09-24,0.0,PRCP,US1TXDA0075
2015-09-25,0.0,PRCP,US1TXDA0075
2015-09-26,0.0,PRCP,US1TXDA0075
2015-09-27,0.0,PRCP,US1TXDA0075
2015-09-28,0.0,PRCP,US1TXDA0075
2015-09-29,0.0,PRCP,US1TXDA0075
2015-09-30,0.0,PRCP,US1TXDA0075
2015-09-23,0.0,SNOW,US1TXDA0075
2015-09-24,0.0,SNOW,US1TXDA0075
2015-09-25,0.0,SNOW,US1TXDA0075
2015-09-26,0.0,SNOW,US1TXDA0075
2015-09-27,0.0,SNOW,US1TXDA0075
2015-09-28,0.0,SNOW,US1TXDA0075
2015-09-29,0.0,SNOW,US1TXDA0075
2015-09-30,0.0,SNOW,US1TXDA0075
2015-10-01,0.0,PRCP,US1TXDA0075
2015-10-02,0.0,PRCP,US1TXDA0075
2015-10-03,0.0,PRCP,US1TXDA0075
2015-10-04,0.0,PRCP,US1TXDA0075
2015-10-05,0.0,PRCP,US1TXDA0075
2015-10-06,0.0,PRCP,US1TXDA0075
2015-10-07,0.0,PRCP,US1TXDA0075
2015-10-08,0.0,PRCP,US1TXDA0075
2015-10-09,0.0,PRCP,US1TXDA0075
2015-10-10,0.0,PRCP,US1TXDA0075
2015-10-11,0.0,PRCP,US1TXDA0075
2015-10-12,0.0,PRCP,US1TXDA0075
2015-10-13,0.0,PRCP,US1TXDA0075
2015-10-14,0.0,PRCP,US1TXDA0075
2015-10-15,0.0,PRCP,US1TXDA0075
2015-10-16,0.0,PRCP,US1TXDA0075
2015-10-17,0.0,PRCP,US1TXDA0075
2015-10-18,0.0,PRCP,US1TXDA0075
2015-10-19,0.0,PRCP,US1TXDA0075
2015-10-20,0.0,PRCP,US1TXDA0075
2015-10-21,0.0,PRCP,US1TXDA0075
2015-10-22,0.0,PRCP,US1TXDA0075
2015-10-23,45.7,PRCP,US1TXDA0075
2015-10-24,121.2,PRCP,US1TXDA0075
2015-10-25,3.8,PRCP,US1TXDA0075
2015-10-26,0.0,PRCP,US1TXDA0075
