DATE,value,element,STATION_ID
1998-01-01,15.0,TMAX,USW00003971
1998-01-02,18.9,TMAX,USW00003971
1998-01-03,20.0,TMAX,USW00003971
1998-01-04,20.0,TMAX,USW00003971
1998-01-05,16.1,TMAX,USW00003971
1998-01-06,16.1,TMAX,USW00003971
1998-01-07,6.7,TMAX,USW00003971
1998-01-08,6.1,TMAX,USW00003971
1998-01-09,11.1,TMAX,USW00003971
1998-01-10,6.7,TMAX,USW00003971
1998-01-11,8.3,TMAX,USW00003971
1998-01-12,21.1,TMAX,USW00003971
1998-01-13,6.7,TMAX,USW00003971
1998-01-14,7.8,TMAX,USW00003971
1998-01-15,13.3,TMAX,USW00003971
1998-01-16,21.1,TMAX,USW00003971
1998-01-17,16.7,TMAX,USW00003971
1998-01-18,19.4,TMAX,USW00003971
1998-01-19,10.6,TMAX,USW00003971
1998-01-20,17.8,TMAX,USW00003971
1998-01-21,13.3,TMAX,USW00003971
1998-01-22,10.0,TMAX,USW00003971
1998-01-23,11.1,TMAX,USW00003971
1998-01-24,15.6,TMAX,USW00003971
1998-01-25,13.3,TMAX,USW00003971
1998-01-26,13.9,TMAX,USW00003971
1998-01-27,17.8,TMAX,USW00003971
1998-01-28,21.1,TMAX,USW00003971
1998-01-29,20.0,TMAX,USW00003971
1998-01-30,20.0,TMAX,USW00003971
1998-01-31,16.1,TMAX,USW00003971
1998-01-01,2.8,TMIN,USW00003971
1998-01-02,12.8,TMIN,USW00003971
1998-01-03,16.1,TMIN,USW00003971
1998-01-04,15.0,TMIN,USW00003971
1998-01-05,10.6,TMIN,USW00003971
1998-01-06,6.7,TMIN,USW00003971
1998-01-07,2.2,TMIN,USW00003971
1998-01-08,-0.6,TMIN,USW00003971
1998-01-09,-1.1,TMIN,USW00003971
1998-01-10,5.0,TMIN,USW00003971
1998-01-11,5.6,TMIN,USW00003971
1998-01-12,6.7,TMIN,USW00003971
1998-01-13,2.8,TMIN,USW00003971
1998-01-14,2.8,TMIN,USW00003971
1998-01-15,0.0,TMIN,USW00003971
1998-01-16,4.4,TMIN,USW00003971
1998-01-17,0.0,TMIN,USW00003971
1998-01-18,4.4,TMIN,USW00003971
1998-01-19,0.6,TMIN,USW00003971
1998-01-20,5.0,TMIN,USW00003971
1998-01-21,6.1,TMIN,USW00003971
1998-01-22,0.6,TMIN,USW00003971
1998-01-23,-1.7,TMIN,USW00003971
1998-01-24,0.0,TMIN,USW00003971
1998-01-25,3.3,TMIN,USW00003971
1998-01-26,5.0,TMIN,USW00003971
1998-01-27,0.6,TMIN,USW00003971
1998-01-28,7.8,TMIN,USW00003971
1998-01-29,5.6,TMIN,USW00003971
1998-01-30,5.0,TMIN,USW00003971
1998-01-31,11.7,TMIN,USW00003971
1998-02-01,18.9,TMAX,USW00003971
1998-02-02,16.1,TMAX,USW00003971
1998-02-03,16.1,TMAX,USW00003971
1998-02-04,13.3,TMAX,USW00003971
1998-02-05,7.8,TMAX,USW00003971
1998-02-06,11.1,TMAX,USW00003971
1998-02-07,14.4,TMAX,USW00003971
1998-02-08,18.3,TMAX,USW00003971
1998-02-09,20.6,TMAX,USW00003971
1998-02-10,17.2,TMAX,USW00003971
1998-02-11,17.8,TMAX,USW00003971
1998-02-12,13.9,TMAX,USW00003971
1998-02-13,15.0,TMAX,USW00003971
1998-02-14,17.2,TMAX,USW00003971
1998-02-15,11.7,TMAX,USW00003971
1998-02-16,10.0,TMAX,USW00003971
1998-02-17,14.4,TMAX,USW00003971
1998-02-18,18.3,TMAX,USW00003971
1998-02-19,11.7,TMAX,USW00003971
1998-02-20,20.0,TMAX,USW00003971
1998-02-21,14.4,TMAX,USW00003971
1998-02-22,13.9,TMAX,USW00003971
1998-02-23,18.3,TMAX,USW00003971
1998-02-24,25.6,TMAX,USW00003971
1998-02-25,23.9,TMAX,USW00003971
1998-02-26,19.4,TMAX,USW00003971
1998-02-27,19.4,TMAX,USW00003971
1998-02-28,15.6,TMAX,USW00003971
1998-02-01,10.6,TMIN,USW00003971
1998-02-02,6.7,TMIN,USW00003971
1998-02-03,3.3,TMIN,USW00003971
1998-02-04,1.1,TMIN,USW00003971
1998-02-05,3.9,TMIN,USW00003971
1998-02-06,-0.6,TMIN,USW00003971
1998-02-07,-1.1,TMIN,USW00003971
1998-02-08,3.3,TMIN,USW00003971
1998-02-09,4.4,TMIN,USW00003971
1998-02-10,8.3,TMIN,USW00003971
1998-02-11,5.0,TMIN,USW00003971
1998-02-12,4.4,TMIN,USW00003971
1998-02-13,6.1,TMIN,USW00003971
1998-02-14,7.2,TMIN,USW00003971
1998-02-15,8.9,TMIN,USW00003971
1998-02-16,7.8,TMIN,USW00003971
1998-02-17,6.1,TMIN,USW00003971
1998-02-18,2.8,TMIN,USW00003971
1998-02-19,7.8,TMIN,USW00003971
1998-02-20,3.3,TMIN,USW00003971
1998-02-21,6.1,TMIN,USW00003971
1998-02-22,8.9,TMIN,USW00003971
1998-02-23,5.6,TMIN,USW00003971
1998-02-24,7.2,TMIN,USW00003971
1998-02-25,10.0,TMIN,USW00003971
1998-02-26,8.9,TMIN,USW00003971
1998-02-27,5.0,TMIN,USW00003971
1998-02-28,5.6,TMIN,USW00003971
1998-03-01,15.0,TMAX,USW00003971
1998-03-02,13.9,TMAX,USW00003971
1998-03-03,15.6,TMAX,USW00003971
1998-03-04,25.0,TMAX,USW00003971
1998-03-05,21.7,TMAX,USW00003971
1998-03-06,9.4,TMAX,USW00003971
1998-03-07,13.3,TMAX,USW00003971
1998-03-08,11.7,TMAX,USW00003971
1998-03-09,8.3,TMAX,USW00003971
1998-03-10,7.8,TMAX,USW00003971
1998-03-11,12.8,TMAX,USW00003971
1998-03-15,17.2,TMAX,USW00003971
1998-03-16,19.4,TMAX,USW00003971
1998-03-17,13.3,TMAX,USW00003971
1998-03-18,26.1,TMAX,USW00003971
1998-03-19,19.4,TMAX,USW00003971
1998-03-20,13.9,TMAX,USW00003971
1998-03-21,16.1,TMAX,USW00003971
1998-03-22,21.7,TMAX,USW00003971
1998-03-23,28.3,TMAX,USW00003971
1998-03-24,27.2,TMAX,USW00003971
1998-03-25,27.2,TMAX,USW00003971
1998-03-26,27.2,TMAX,USW00003971
1998-03-27,26.7,TMAX,USW00003971
1998-03-28,29.4,TMAX,USW00003971
1998-03-29,28.3,TMAX,USW00003971
1998-03-30,28.9,TMAX,USW00003971
1998-03-31,21.1,TMAX,USW00003971
1998-03-01,3.3,TMIN,USW00003971
1998-03-02,1.7,TMIN,USW00003971
1998-03-03,-0.6,TMIN,USW00003971
1998-03-04,9.4,TMIN,USW00003971
1998-03-05,8.3,TMIN,USW00003971
1998-03-06,6.1,TMIN,USW00003971
1998-03-07,9.4,TMIN,USW00003971
1998-03-08,1.1,TMIN,USW00003971
1998-03-09,-1.7,TMIN,USW00003971
1998-03-10,-3.9,TMIN,USW00003971
1998-03-11,-3.9,TMIN,USW00003971
1998-03-15,14.4,TMIN,USW00003971
1998-03-16,11.1,TMIN,USW00003971
1998-03-17,6.7,TMIN,USW00003971
1998-03-18,7.8,TMIN,USW00003971
1998-03-19,5.6,TMIN,USW00003971
1998-03-20,4.4,TMIN,USW00003971
1998-03-21,0.6,TMIN,USW00003971
1998-03-22,3.3,TMIN,USW00003971
1998-03-23,13.9,TMIN,USW00003971
1998-03-24,13.3,TMIN,USW00003971
1998-03-25,17.2,TMIN,USW00003971
1998-03-26,18.3,TMIN,USW00003971
1998-03-27,13.9,TMIN,USW00003971
1998-03-28,17.8,TMIN,USW00003971
1998-03-29,19.4,TMIN,USW00003971
1998-03-30,14.4,TMIN,USW00003971
1998-03-31,11.1,TMIN,USW00003971
1998-04-01,27.8,TMAX,USW00003971
1998-04-02,25.0,TMAX,USW00003971
1998-04-03,21.1,TMAX,USW00003971
1998-04-04,18.3,TMAX,USW00003971
1998-04-05,22.8,TMAX,USW00003971
1998-04-06,24.4,TMAX,USW00003971
1998-04-07,28.9,TMAX,USW00003971
1998-04-08,22.8,TMAX,USW00003971
1998-04-09,22.8,TMAX,USW00003971
1998-04-10,24.4,TMAX,USW00003971
1998-04-11,27.2,TMAX,USW00003971
1998-04-12,26.1,TMAX,USW00003971
1998-04-13,30.6,TMAX,USW00003971
1998-04-14,29.4,TMAX,USW00003971
1998-04-15,29.4,TMAX,USW00003971
1998-04-16,22.2,TMAX,USW00003971
1998-04-17,19.4,TMAX,USW00003971
1998-04-18,22.8,TMAX,USW00003971
1998-04-19,24.4,TMAX,USW00003971
1998-04-20,26.7,TMAX,USW00003971
1998-04-21,21.7,TMAX,USW00003971
1998-04-22,24.4,TMAX,USW00003971
1998-04-23,25.6,TMAX,USW00003971
1998-04-24,28.9,TMAX,USW00003971
1998-04-25,28.3,TMAX,USW00003971
1998-04-26,22.8,TMAX,USW00003971
1998-04-27,21.7,TMAX,USW00003971
1998-04-28,17.8,TMAX,USW00003971
